,question_cod,question,all_alternatives,correct_alt,year,context,wrong_correct,correct_alternative,wrong_alternative
56,Q17529,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.O vocábulo “os” (R.27) remete a “sinônimos” (R.26)",Errado | Certo,c,2018,,2,Certo,Errado
57,Q17530,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
O vocábulo “valentona” (R.27) foi empregado em referência a “mulher” (R.28).",Errado | Certo,e,2018,,2,Certo,Errado
58,Q17540,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
Feitos os devidos ajustes de pontuação, a retirada do trecho “Eles, não” (R.13) manteria o sentido geral do texto, porém reduziria a ênfase com a qual o autor se refere à crueldade dos “noivos assassinos” (R. 9 e 10).",Errado | Certo,c,2018,,2,Certo,Errado
59,Q17547,"Com relação às ideias e aos aspectos linguísticos do texto CB4A1AAA, julgue o item a seguir.
A autora utiliza o termo “tudo"" (R.5) para se referir a uma ampla quantidade de experiências, objetos e produtos que constituem e(ou) comportam uma sequência articulada de eventos.",Errado | Certo,c,2018,,2,Certo,Errado
60,Q17570,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.

A substituição da expressão “e olha que eu moro bem no meio das montanhas"" (R. 18 e 19) por embora eu more entre montanhas manteria a coerência do trecho no qual se insere, mas alteraria seu nível de formalidade.",Errado | Certo,c,2018,,2,Certo,Errado
61,Q17755,"Com relação às ideias e aos aspectos linguísticos do texto CB4A1AAA, julgue o item a seguir.A autora utiliza o termo “tudo” (R.5) para se referir a uma ampla quantidade de experiências, objetos e produtos que constituem e(ou) comportam uma sequência articulada de eventos.",Errado | Certo,c,2018,,2,Certo,Errado
62,Q17757,"Com relação aos sentidos e aos aspectos gramaticais do texto CB4A1BBB, julgue o item que se seguem.Ao narrar a história do macaco Alemão e ao comentar a vida dos tigres-de-bengala nascidos em cativeiro, a autora remete à perspectiva de visitar zoológicos que ela classifica como “sem inocência” (R.19).",Errado | Certo,c,2018,,2,Certo,Errado
63,Q17775,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.
Caso se isolasse por vírgulas o trecho “que, em Deodoro, quis matar a ex-noiva e suicidou-se em seguida” (R. 1 e 2), seria pertinente inferir que o autor se referisse a um rapaz já anteriormente mencionado, ou conhecido do interlocutor.",Errado | Certo,c,2018,,2,Certo,Errado
64,Q17783,"Julgue os itens a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
O vocábulo “os” (R.27) remete a “sinônimos” (R.26).",Errado | Certo,c,2018,,2,Certo,Errado
66,Q19529,"A respeito dos aspectos linguísticos do texto CB4A1AAA, julgue o próximo item.
A correção gramatical e os sentidos do texto seriam preservados se o seu último período fosse reescrito da seguinte maneira: Em síntese, os autores argumentam a favor de instrumentos variados para a solução da injustiça e dependem da interpretação de cada um desses instrumentos relativos ao conceito de justiça.",Errado | Certo,e,2018,,2,Certo,Errado
67,Q19536,"Julgue o seguinte item, relativo aos sentidos e às ideias do texto CB4A1AAA.
O verbo enquadrar, no trecho “O debate se enquadra em torno de três principais ideias"" (R.8), foi empregado com o sentido de circunscrever.",Errado | Certo,c,2018,,2,Certo,Errado
68,Q19542,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.
No terceiro parágrafo, fica clara a importância da linguagem nas audiências judiciais, momento em que as vítimas têm a oportunidade de desabafar, e os juízes, como a autora do texto, de lhes explicar o trâmite da ação.",Errado | Certo,e,2018,,2,Certo,Errado
69,Q19558,"Julgue o seguinte item, relativo aos sentidos e às ideias do texto CB4A1AAA.

O verbo enquadrar, no trecho “O debate se enquadra em torno de três principais ideias"" (R.8), foi empregado com o sentido de circunscrever.",Errado | Certo,c,2018,,2,Certo,Errado
70,Q19572,"Julgue o seguinte item, relativos aos sentidos e às ideias do texto CB4A1AAA.
A expressão “estado de coisas” (R.17) refere-se a “situações de justiça social” (R.16).",Errado | Certo,c,2018,,2,Certo,Errado
71,Q19579,"Acerca do texto CB1A1BBB e de seus aspectos linguísticos, julgue o item que se segue.Mantendo-se a correção gramatical e os sentidos do texto, o último período poderia ser reescrito da seguinte forma: Considerando esses pressupostos como obviamente ligados a noção ocidental de dignidade humana, que se diferencia das de outras culturas, a pergunta a ser feita é: porque a universalidade dos direitos humanos é uma questão que tornou-se tão inflamadamente debatida?",Errado | Certo,e,2018,,2,Certo,Errado
72,Q19603,"Com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, julgue o próximo item.Conclui-se do texto, especialmente pelo emprego de “Incensurável” (R.20), que seu autor considera correto o posicionamento de Kant sobre a dignidade humana.",Errado | Certo,c,2018,,2,Certo,Errado
73,Q19604,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.
No texto, a palavra “prolatada"" (R.11) foi empregada como sinônimo de deferida.",Errado | Certo,e,2018,,2,Certo,Errado
74,Q19895,"Julgue o seguinte item, com relação aos aspectos gramaticais do texto CB1A1AAA.
No período “Talvez porque se descurasse a necessidade de criar dispositivos de autoformação cooperativa, que rompessem com a cultura do isolamento e autossuficiência que ainda prevalecem nas nossas escolas” (R. 22 a 26), os pronomes “que”, em ambas as ocorrências, retomam o mesmo referente.",Errado | Certo,e,2018,,2,Certo,Errado
75,Q19896,"Considerando os aspectos gramaticais do texto CB1A1BBB, julgue o item seguinte.

A conjunção “porém"" (R.23) expressa conclusão no período em que ocorre, por isso poderia ser substituída, sem prejuízo do sentido original do texto, pela conjunção portanto.",Errado | Certo,e,2018,,2,Certo,Errado
76,Q19967,"Considerando as ideias expressas no texto CB1A1AAA e a sua tipologia, julgue o item a seguir.
O ideal, de acordo com o texto, é que os programas de formação de professores incentivem o questionamento da prática docente, libertando os docentes da condição de consumidores de formação.",Errado | Certo,c,2018,,2,Certo,Errado
77,Q19968,"Julgue o seguinte item, com relação aos aspectos gramaticais do texto CB1A1AAA.
O emprego das aspas em “reformadores” (R.28) e “novas” (R.29) indica que o autor faz referência a esses conceitos de um modo crítico.",Errado | Certo,c,2018,,2,Certo,Errado
78,Q19969,"Considerando as ideias e os aspectos linguísticos do texto CB1A1BBB, julgue o item que se segue.
Para o autor, a aprendizagem da técnica da escrita deve ser dissociada da concepção de mundo do alfabetizando.",Errado | Certo,e,2018,,2,Certo,Errado
79,Q20370,"Julgue o item seguinte, a respeito do texto precedente.Está implícita no trecho “que vê a uva” (v.9) uma referência ao método de alfabetização adotado em antigas cartilhas.",Errado | Certo,c,2018,,2,Certo,Errado
80,Q20371,"No que se refere ao texto precedente e às ideias nele veiculadas, julgue o item subsequente.
Conforme as pesquisas citadas no texto, o brasileiro não sabe ler.",Errado | Certo,e,2018,,2,Certo,Errado
81,Q20377,"Considerando as ideias e os aspectos linguísticos do texto precedente, julgue o item a seguir.

Na expressão “dose padrão"" (R.16), o vocábulo “padrão"" foi empregado como sinônimo de análogo.",Errado | Certo,e,2018,,2,Certo,Errado
82,Q20378,"Com base no texto precedente, julgue o seguinte item.Para o autor do texto, o ser humano, apesar da condição de “caniço”, é superior ao universo, porque detém a faculdade do pensamento.",Errado | Certo,c,2018,,2,Certo,Errado
83,Q20382,"Com relação aos aspectos linguísticos do texto 11A3AAA, julgue o item seguinte.
Na linha 9, a conjunção “Como” introduz uma comparação.",Errado | Certo,e,2018,,2,Certo,Errado
84,Q20383,"Com relação aos textos 11A3AAA e 11A3BBB, julgue o item a seguir.As expressões “O senhor governador” (R.32 do texto 11A3AAA) e “e meus desejos nem se fala!” (R. 7 e 8 do texto 11A3BBB) são consideradas coloquiais, porém adequadas ao gênero dos textos em que aparecem, uma vez que ambos configuram um discurso ficcional.",Errado | Certo,e,2018,,2,Certo,Errado
85,Q20384,"Com relação às ideias e à textualidade do texto 11A3CCC, julgue o seguinte item.
No texto, predomina a concepção de que o uso da língua corresponde a um conjunto de práticas sociais que determinam os diferentes modos e formatos da comunicação linguística.",Errado | Certo,c,2018,,2,Certo,Errado
86,Q20385,"Considerando o fragmento de texto precedente e as competências e habilidades propostas pelos PCNEM, julgue o seguinte item.O professor deve adotar, em sala de aula, uma postura semelhante à do personagem que afirma: “O correto é ‘disseram-me’. Não ‘me disseram’.”.",Errado | Certo,e,2018,,2,Certo,Errado
87,Q20386,"No que diz respeito às construções linguísticas do texto 11A3CCC, julgue o item subsequente.
Na linha 42, a expressão “mais ainda” enfatiza o conteúdo da forma verbal que a antecede: “acredita”.",Errado | Certo,e,2018,,2,Certo,Errado
88,Q20736,"Acerca das propriedades linguísticas do texto precedente, julgue os itens subsequentes.
Os termos “antiéticas”, “ilegais” e “combatidas” qualificam a palavra “práticas”.",Errado | Certo,e,2018,,2,Certo,Errado
94,Q25658,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue os itens que se seguem.
A ideia principal do último parágrafo do texto é a de que as mulheres não devem ser penalizadas em razão das decisões que tomam a respeito de seus sentimentos.",Errado | Certo,e,2018,,2,Certo,Errado
95,Q25683,"Julgue o iten a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
O vocábulo “os” (R.27) remete a “sinônimos” (R.26).",Errado | Certo,c,2018,,2,Certo,Errado
96,Q25684,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue os itens que se seguem.

O vocábulo se recebe a mesma classificação em “se julgam"" (R.6) e “se castigam"" (R.21).",Errado | Certo,e,2018,,2,Certo,Errado
97,Q25716,"Com relação aos sentidos e aos aspectos gramaticais do texto CB4A1BBB, julgue o item que se segue.
A correção gramatical e o sentido original do texto seriam preservados caso o período “Ele pode então (...) sua vida” (R. 14 e 15) fosse assim reescrito: Para o apartamento financiado em quinze anos, pode ele voltar então, contente com sua vida",Errado | Certo,c,2018,,2,Certo,Errado
98,Q25717,"Com relação às ideias e aos aspectos linguísticos do texto CB4A1AAA, julgue o item a seguir.
Dadas a temática apresentada e a presença de referências temporais, como as expressões “nas últimas décadas” (R.14) e “dos anos 80 do século XX para cá” (R.17), o texto classifica-se como narrativo.",Errado | Certo,e,2018,,2,Certo,Errado
99,Q25746,"Julgue o item a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.
A forma verbal “termine” (R.5), que denota uma ação incerta ou irreal, foi empregada para indicar que a carta que Crick escreveu a seu filho, na realidade, não se encerra com as palavras ‘Muito amor, papai’ (R. 5 e 6).",Errado | Certo,e,2018,,2,Certo,Errado
100,Q25767,"Com relação aos sentidos e aos aspectos gramaticais do texto CB1A1BBB, julgue o item que se segue.

O vocábulo se recebe a mesma classificação em “se julgam"" (R.6) e “se castigam"" (R.21).",Errado | Certo,e,2018,,2,Certo,Errado
101,Q25792,"Com relação às ideias e aos aspectos linguísticos do texto CB4A1AAA, julgue o item a seguir.Dadas a temática apresentada e a presença de referências temporais, como as expressões “nas últimas décadas” (R.14) e “dos anos 80 do século XX para cá” (R.17), o texto classifica-se como narrativo.",Errado | Certo,e,2018,,2,Certo,Errado
102,Q25804,"Julgue os itens a seguir, com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, no qual a autora Matilde Campilho aborda a descoberta, em 1953, da estrutura da molécula do DNA, correalizada pelos cientistas James Watson e Francis Crick.

A substituição da expressão “e olha que eu moro bem no meio das montanhas"" (R. 18 e 19) por embora eu more entre montanhas manteria a coerência do trecho no qual se insere, mas alteraria seu nível de formalidade.",Errado | Certo,c,2018,,2,Certo,Errado
103,Q26657,"Julgue o seguinte item, relativo aos sentidos e às ideias do texto CB4A1AAA.Os autores mencionados no segundo parágrafo apresentam ideias contrárias acerca da noção de injustiça: Amartya Sen a relaciona à liberdade na sociedade; Rawls entende injustiça como uma questão de contratos civis; e Habermas, como uma manifestação linguística e de ação coletiva.",Errado | Certo,e,2018,,2,Certo,Errado
104,Q26659,"A respeito dos aspectos linguísticos do texto CB4A1AAA, julgue o próximo item.
Nos trechos “se debruçaram” (R.11) e “se chegar” (R.17), a partícula “se” recebe classificações distintas.",Errado | Certo,c,2018,,2,Certo,Errado
105,Q26688,"Julgue o seguinte item, relativo aos sentidos e às ideias do texto CB4A1AAA.
Os autores mencionados no segundo parágrafo apresentam ideias contrárias acerca da noção de injustiça: Amartya Sen a relaciona à liberdade na sociedade; Rawls entende injustiça como uma questão de contratos civis; e Habermas, como uma manifestação linguística e de ação coletiva.",Errado | Certo,e,2018,,2,Certo,Errado
106,Q26698,"Acerca do texto CB1A1BBB e de seus aspectos linguísticos, julgue o item que se segue.O texto é essencialmente dissertativo-argumentativo e nele o autor expressa sua opinião a respeito do assunto tratado.",Errado | Certo,c,2018,,2,Certo,Errado
107,Q26709,"Julgue o seguinte item, relativos aos sentidos e às ideias do texto CB4A1AAA.

O verbo
enquadrar, no trecho “O debate se enquadra em torno de três principais ideias"" (R.8), foi empregado com o sentido de circunscrever.",Errado | Certo,c,2018,,2,Certo,Errado
108,Q26718,"Com relação às ideias e aos aspectos linguísticos do texto CB1A1AAA, julgue o próximo item.
A correção do texto seria mantida caso o pronome “se"", em “poder-se-ia falar"" (R.5), fosse deslocado para imediatamente após a forma verbal “falar"", escrevendo-se poderia falar-se.",Errado | Certo,c,2018,,2,Certo,Errado
109,Q26719,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.Infere-se do primeiro parágrafo que, para a autora, escrever foi uma espécie de processo terapêutico.",Errado | Certo,c,2018,,2,Certo,Errado
110,Q26720,"Com base no texto CB1A1CCC, escrito por uma juíza acerca de casos de violência doméstica, julgue o item a seguir.O trecho “juízes, promotores e advogados” (R. 25 e 26) explica o sentido de “nós” (R.25).",Errado | Certo,c,2018,,2,Certo,Errado
111,Q27005,"Considerando as ideias e os aspectos linguísticos do texto CB1A1BBB, julgue o item que se segue.
Considerando-se a concepção de leitura expressa pelo autor, é correto afirmar que só quem consegue ler previamente o mundo é capaz de aprender a ler bem as palavras.",Errado | Certo,c,2018,,2,Certo,Errado
112,Q27006,"Considerando as ideias expressas no texto CB1A1AAA e a sua tipologia, julgue o item a seguir.
Para o autor, a fim de se obter sucesso com programas de formação de professores, é necessário romper com dispositivos de autoformação cooperativa.",Errado | Certo,e,2018,,2,Certo,Errado
113,Q27007,"Considerando os aspectos gramaticais do texto CB1A1BBB, julgue o item seguinte.

A expressão “em cujo"" (R.7) poderia ser substituída, sem prejuízo para a correção gramatical do texto, pela expressão no qual.",Errado | Certo,e,2018,,2,Certo,Errado
114,Q27008,"Julgue o seguinte item, com relação aos aspectos gramaticais do texto CB1A1AAA.

Sem prejuízo das informações veiculadas no texto, a forma verbal “responda"" (R.7) poderia ser substituída por atenda.",Errado | Certo,c,2018,,2,Certo,Errado
115,Q27009,"Considerando os aspectos gramaticais do texto CB1A1BBB, julgue o item seguinte.

A correção gramatical do texto seria prejudicada caso o pronome “me"", em “me parece"" (R.1), fosse deslocado para logo após “parece"", da seguinte forma: parece-me.",Errado | Certo,c,2018,,2,Certo,Errado
